Item Name,Qty,Price (total) (USD),Item link,Notes
Low Profile Switches 10x,5,$5.78,https://lowprokb.ca/products/kailh-choc-low-profile-switches,
Waveshare RP2040-plus ,2,$7.23,https://ca.robotshop.com/products/waveshare-rp2040-plus-16mb-pico-like-mcu-board-based-on-rp2040-w-o-header?srsltid=AfmBOoog0yQeL7O4u7ji2_JOMy91K1ryy1X89ScYjxdcIy5POuJgpKlPqoA,
Lcd Display,1,$10.08,https://www.amazon.ca/Freenove-Display-Compatible-Arduino-Raspberry/dp/B0B76YGDV4?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&th=1,
Hot Swap Sockets 200x,1,$26.40,https://www.amazon.ca/Mechkeeb-Kailh-Low-Hot-swappable-Socket/dp/B0BS3K6WSW,
Rotary Encoder,1,$5.08,https://canada.newark.com/alps-alpine/ec11e15244g1/rotary-encoder-alps-alpine-ec11e15244g1/dp/75T6680?,
m2.5 Heat set inserts 100x,1,$4.64,https://www.amazon.ca/Insert-Knurled-Threaded-Embedded-Plastic/dp/B07NYYLQBJ/ref=asc_df_B07NYYLQBJ?mcid=d4065acc163036c7a8a81ddec88e9c80&tag=googleshopc0c-20&linkCode=df0&hvadid=706725384399&hvpos=&hvnetw=g&hvrand=15609187973819680562&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9001064&hvtargid=pla-903048230319&psc=1&hvocijid=15609187973819680562-B07NYYLQBJ-&hvexpln=0&gad_source=1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$59.21,,,
